Swedish,English 
Jag hade en besvärlig tid.,I had a hard time.
Han stängde dörren.,He shut the door.
Hon bad sin lärare om råd.,She asked her teacher for advice.
Det är närapå omöjligt.,It's nearly impossible.
Jag vill bara kunna besöka mina barn när jag så önskar.,I just want to be able to visit my children whenever I want to.
Vad är det Ken äter?,What is Ken eating?
Jag gör det om du stöttar mig.,I will do it on condition that you support me.
Jag gillar te.,I like tea.
"Hon kan inte bara tala engelska, utan också franska.",She can speak not only English but also French.
Morfar köpte den till mig.,Grandpa bought it for me!
Han hade i arbetet kommit i kontakt med några utlänningar.,His job has brought him in contact with some foreigners.
Jag tycker att du behöver tänka på framtiden.,I think you need to think about the future.
Öppna inte lådan än.,Don't open the box yet.
Oavsett hur snabbt du kör hinner du inte dit i tid.,"No matter how fast you drive, you will not get there on time."
Någon verkar ropa på mig.,Someone seems to be calling me.
Lådan var full av böcker.,The box was full of books.
Jag håller dig informerad.,I'll keep you posted.
Jag är hungrig.,I am hungry.
Jag är hungrig.,I'm hungry.
Jag har bra dagar och dåliga dagar.,I have good days and bad days.
Jag glömde ditt paraply på bussen.,I left your umbrella in the bus.
Vi ses i skolan imorgon.,See you tomorrow at school.
Så blå himlen är!,How blue the sky is!
Jag tycker att du borde tänka på framtiden.,I think you should think about the future.
Jag skulle vilja köpa några vykort.,I would like to buy some postcards.
Jag översatte dikten så gott som jag kunde.,I translated the poem the best I could.
Bilen är blå.,The car is blue.
Lärare måste förstå barn.,Teachers must understand children.
Du har druckit tre koppar kaffe.,You have drunk three cups of coffee.
Vi kommer väl överens.,We get on OK.
Vilken station är detta?,What station is it?
Jag var hungrig.,I felt hungry.
Jag var hungrig.,I was hungry.
Han tvättar bilen.,He is washing the car.
Har du någonsin tvättat din bil?,Have you ever washed your car?
Det förklarar varför dörren är öppen.,That explains why the door is open.
Hur länge kommer det här kalla vädret att hålla på?,How long will this cold weather last?
Hon äter middag nu.,She is having dinner now.
Det fanns ingen kvar utom mig.,There was no one left but me.
Hon log åt mig medan hon sjöng en sång.,She smiled at me while she sang a song.
Ni har druckit tre koppar kaffe.,You have drunk three cups of coffee.
Kan jag få köpa några vykort?,I would like to buy some postcards.
Vems är de?,Whose are they?
Du då?,How about you?
Du ser sjuk ut.,You look sick.
Du behöver koppla av.,You need to relax.
Hur säger du det på italienska?,How do you say that in Italian?
Hon är van vid att sitta.,She is used to sitting.
Jag gillar inte att bli driven med.,I don't like being made a fool of.
Det här är en läsvärd bok.,This is a worthwhile book.
Jag har rätt att vara på det här skeppet.,I have a right to be on this ship.
Var trevligare mot din syster.,Be nicer to your sister.
Jag vill ha en förklaring.,I'd like an explanation.
Du har friheten att använda detta rum hur du än vill.,You are at liberty to make use of this room in any way you please.
Jag har en idé.,I have an idea.
Talar du svenska?,Do you speak Swedish?
Jag är inte på väg någonstans.,I am not going anywhere.
Jag skrev min första mening på tyska.,I wrote my first sentence in German.
Han ser stark ut.,He looks strong.
Jag vill bara kunna besöka mina barn när jag vill.,I just want to be able to visit my children whenever I want to.
Skolan ligger en halv mil iväg från mitt hus.,The school is a half-mile walk from my house.
Talar du turkiska?,Do you speak Turkish?
Jag kan springa.,I can run.
Jag har att skynda!,I have to hurry!
Jag forska i det.,I'll look into it.
Problemet är att pojken aldrig gör vad han blir tillsagd att göra.,The problem is that that boy never does what he is told to do.
Han är sitt vanliga jag.,He is his usual self.
Jag måste ha drömt det.,I must have dreamt it.
Jag talar svenska.,I speak Swedish.
Det finns en pojke i det här rummet.,There is a boy in this room.
Ha ett trevligt liv.,Have a nice life.
Det såg billigt ut.,It looked cheap.
Det är kallt ute.,It is cold outside.
Det finns en hållplats här.,There's a bus stop here.
För egen del föredrar jag kaffe framför te.,"Me, I prefer coffee to tea."
Jag tror inte att din teori håller.,I think your theory does not hold water.
Min mormor bodde hos oss.,My grandmother lived with us.
Missade jag någonting?,Did I miss something?
Lådan var nästan full.,The box was almost full.
Jag vill att du går på mötet imorgon.,I'd like you to attend the meeting tomorrow.
Jag sjunger en sång.,I sing a song.
Har du ätit lunch än?,Have you eaten lunch yet?
Är du allergisk mot någon medicin?,Are you allergic to any medicine?
Jag lärde känna honom när jag var student.,I got to know him when I was a student.
Är vi färdiga här?,Are we done here?
Kan jag använda telefonen?,May I use the telephone?
Det finns ett vykort här.,There's a postcard here.
Jag träffade just henne på gatan.,I just met her on the street.
Det finns ett hotell här.,There's a hotel here.
Kameran som du köpte är bättre än min.,The camera you bought is better than mine.
Hon tror att hon vet bäst.,She thinks she knows best.
Till min förvåning var han bra på att sjunga.,"To my surprise, he was good at singing."
Skaffa dig ett liv.,Get a life.
Vi tummade på det.,We shook on it.
Vi visste inte vilket tåg de skulle vara på.,We didn't know what train they'd be on.
Vet du om han kommer till festen?,Do you know if he's coming to the party?
Har ni någonsin tvättat er bil?,Have you ever washed your car?
Jag matade hunden.,I fed the dog.
Fanns inga moln på himlen.,No clouds were in the sky.
Jag är inte det minsta förvånad.,I am not in the least surprised.
Jag träffar honom ofta.,I often see him.
Jag sålde en bok.,I sold a book.
Vilken är nästa station?,What's the next station?
Mitt te är för sött.,My tea is too sweet.
Jag skulle vilja byta plats.,I'd like to change my seat.
Gott Nytt År!,Happy New Year!
Vi hinner inte i tid till mötet.,We won't be in time for the meeting.
Är han inte söt när han är arg?,Isn't he cute when he's so angry?
Det han sa visade sig vara en lögn.,What he said turned out to be a lie.
Vi kommer överens.,We get on OK.
Jag råder dig att inte åka.,I advise you not to go.
Var trevligare mot er syster.,Be nicer to your sister.
Hans hus ligger precis över gatan.,His house is just over the road.
Jag har så många idéer.,I have so many ideas.
Han var så upptagen att han skickade sin son istället för att gå själv.,He was so busy that he sent his son instead of going himself.
Jag kan inte tillåta det.,I can't allow that.
Ditt problem liknar mitt.,Your problem is similar to mine.
Jag frågade honom vad han hette.,I asked him what his name was.
Vad heter den här gatan?,What's this street called?
Vad heter den här gatan?,What is the name of this street?
"John kan inte göra det, och inte jag heller, och inte du heller.","John can't do it, nor can I, nor can you."
Om någon är politiker är det han.,"He is a politician, if ever there was one."
Du kan inte neka det.,You can't deny that.
Jag gillar att gå en tur i parken.,I like going for a walk in the park.
Hur lång är den där bron?,How long is that bridge?
Jag skall äta äpplet.,I'll eat the apple.
Vi behöver tänka över problemet mer försiktigt.,We have to consider the problem more carefully.
Jag gillar hundar och min syster gillar katter.,I like dogs and my sister likes cats.
Jag kommer så fort jag kan.,I'll come as soon as I can.
Han åt äpplet.,He ate the apple.
Gå och byt om.,Go get changed.
Han festar för mycket.,He parties too much.
Jag kan inte bluffa det.,I can't fake it.
Han bestämde sig för att en gång för alla sluta röka.,He decided to give up smoking once and for all.
Hon kommer att betala för allting.,She will pay for everything.
Han är inte för fattig för att köpa en cykel.,He is not too poor to buy a bicycle.
Jag kan inte fejka det.,I can't fake it.
Jag skriver en mening på tyska.,I'm writing a sentence in German.
Det här är en vän till mig.,This is a friend of mine.
"Jag vill bara vara din vän, ingenting mer.","I just want to be your friend, nothing more."
Vi frågade honom vad han hette.,We asked him what he was called.
Kan jag få en kudde?,Can I get a pillow?
Jag har inget med brottet att göra.,I have nothing to do with the crime.
Sluta skjuta!,Stop shooting.
Du är trygg här med mig.,You are safe here with me.
Jag kan inte besvara din fråga.,I can not answer your question.
Jag är utledsen på det.,I'm fed up with it.
Jag åkte ända till London med bil.,I went as far as London by car.
De säger att han föddes i Tyskland.,They say that he was born in Germany.
Jag är urless på det.,I'm fed up with it.
Han studerade hårt så han inte skulle misslyckas.,He studied hard so he wouldn't fail.
Jag är utled på det.,I'm fed up with it.
Jag behöver en kniv.,I need a knife.
"Tjejer kom in, den ena efter den andra.",Girls came in one after another.
Vi såg barnet stiga på bussen.,We saw the child get on the bus.
Kan någon verifiera det?,Can anyone verify that?
På golvet stod två par skor.,On the floor were two pairs of shoes.
Kan någon intyga det?,Can anyone verify that?
Kan någon bestyrka det?,Can anyone verify that?
Du domderar så mycket.,You're so bossy.
Om jag vore en fågel så skulle jag kunna flyga till dig.,"If I were a bird, I could fly to you."
Herr Smith har gjort det till en regel att ta en promenad varje morgon.,Mr Smith make it a rule to take a walk every morning.
Det är onormalt att äta så mycket.,It is abnormal to eat so much.
Jag är dubbelt så gammal som du.,I'm twice your age.
Han har inte lyckats än.,He hasn't succeeded yet.
Ge mig ett exempel till.,Give me another example.
Vädret ska bli bättre imorgon.,The weather is bound to get better tomorrow.
Jag är mycket glad att lära känna er.,I'm very happy to make your acquaintance.
Jag kan inte svara på det.,I can't answer that.
Ser jag OK ut?,Do I look OK?
Jag kommer att försöka.,I'm going to try.
Jag gillade din historia.,I liked your story.
Jag kan inte flytta på det.,I can't budge it.
Ta bort lådan.,Take that box away!
Han verkar inte ha vetat det.,He seems not to have known it.
Hon kom ensam.,She came alone.
Jag låtsades arbeta.,I pretended to work.
Jag låtsades arbeta.,I pretended to be working.
Jag kan inte hantera det här.,I can't deal with this.
Hans fru är svensk.,His wife is Swedish.
Du är i bättre form än jag.,You're in better shape than I am.
Hon talar ryska.,She speaks Russian.
Pratar du svenska?,Do you speak Swedish?
Det här är första gången jag skriver ett brev på spanska.,It's the first time I've ever written a letter in Spanish.
Var elev har sin egen dator.,Each student has their own computer.
Det förklarar varför dörren står öppen.,That explains why the door is open.
Vår bil är tre år äldre än era.,Our car is three years older than yours.
Så du ska ingenstans imorgon?,So you're not going anywhere tomorrow?
Jag vet allting om dig.,I know all about you.
Du måste prata med honom angående det,You must talk with him about the matter.
Det finns inga droger här.,There are no drugs here.
Jag förmodar att han kommer.,I suppose he'll come.
Skjut inte!,Don't shoot!
Vi kommer att försöka.,We're going to try.
Det var natt.,It was night.
Hon bestämde sig för att säga upp sig från sitt jobb.,She decided to quit her job.
Min far har slutat röka på grund av sin hälsa.,My father has quit smoking for his health.
Han är tillbaka om tio minuter.,He will be back in ten minutes.
Jag pratar svenska.,I speak Swedish.
Jag lade märke till att hon satt på första raden.,I noticed that she sat in the front row.
Detta är en kamera tillverkad i Japan.,This is a camera made in Japan.
Det här huset behöver målas.,This house needs painting.
Jag kommer att drömma om dig.,I'll dream about you.
Det tog dem två år att bygga huset.,It took them two years to build the house.
Kan du räkna till tio på kinesiska?,Can you count to ten in Chinese?
Vi är inte i fara nu.,We're in no danger now.
Sommaren är över.,The summer is over.
Sommaren är över.,Summer is over.
Jag kan köra.,I can drive.
Vad är det som pågår här?,What is going on here?
Var god och tag plats!,Please take a seat!
Jag uppskattar ert arbete.,I appreciate your work.
Det stämmer!,That's right!
Var ligger Paris?,Where is Paris?
Jag är en tålmodig man.,I'm a patient man.
Vi måste skynda oss.,We need to hurry.
Var är resten av pengarna?,Where's the rest of the money?
Hon slöt sina ögon.,She closed her eyes.
Det ligger en sax på bordet.,There is a pair of scissors on the desk.
En tjej ringde mig.,A girl phoned me.
Vi måste förflytta oss.,We have to move.
Jag är en oskyldig man.,I'm an innocent man.
Blir ni ledsna av det?,Does that make you sad?
Mor stannade i bilen medan far handlade.,Mom remained in the car while Dad shopped.
Slåss som en man!,Fight like a man!
Hon erkände att hon inte kunde prata franska.,She acknowledged that she couldn't speak French.
Jag var inte medveten om att du mådde så dåligt.,I wasn't aware that you were feeling that bad.
Jag var inte medveten om att du mådde så dåligt.,I wasn't aware that you were feeling so bad.
Jag sovde väldigt bra.,I slept very well.
Är det någon som kan svara?,Is there anyone who can answer?
Det är bara ett par få minuter kvar tills tåget går och hon har inte dykt upp än!,There are only five minutes left till the train leaves and she hasn't appeared.
"Den här klänningen kan se lustig ut, men jag gillar den.","This dress may look funny, but I like it."
Jag gillar inte det här stället.,I don't like this place.
Den nya telefonboken är här!,The new phone book is here!
Vem tog hand om hunden medan du var borta?,Who took care of the dog while you were away?
Jag skulle vilja ha två kilo äpplen.,I'd like two kilos of apples.
Gör det som du tycker är rätt.,Do what you believe is right.
Det sägs att han föddes i Tyskland.,They say that he was born in Germany.
Jag menade inte något av det.,I didn't mean any of it.
Han är flytande på Engelska.,He is fluent in English.
Det är förnedrande för henne.,It is degrading for her.
Jag kan inte låta det hända.,I can't allow that to happen.
Du äcklar mig.,I am disgusted with you.
Hon böjde sig ner.,She bent down.
Antingen har du eller han fel.,Either you or he is wrong.
Vem tog hand om hunden medan ni var borta?,Who took care of the dog while you were away?
Han gav mig ett exempel.,He gave me an example.
Den här datorn är bättre än den.,This computer is superior to that one.
Jag skulle vilja pröva det här.,I'd like to try this.
Ge mig inte den där blicken.,Don't give me that look.
Se inte så chockad ut.,Don't look so shocked.
Jag fruktar det.,I fear so.
Det är faktiskt en bra poäng.,That's actually a good point.
Var inte fräck emot mig.,Don't be fresh to me.
Ken läste när jag kom hem.,Ken was reading when I came home.
Ingen annan än du kan göra mig lycklig.,Nobody but you can make me happy.
Jag förstår exakt hur du känner dig.,I know exactly how you feel.
Vi döpte min son efter min farfar.,We named my son after my grandfather.
Vi döpte min son efter min morfar.,We named my son after my grandfather.
De gick och fiskade i går.,They went fishing yesterday.
Är ni fortfarande arga på mig?,Are you still mad at me?
Du är det vackraste flickan jag någonsin sett.,You're the most beautiful girl I've ever seen.
Har du gått ner i vikt?,Have you lost weight?
Min far röker.,My father smokes.
Du måste vara jättehungrig nu.,You must be very hungry now.
Det finns ett äpple på bordet.,There is an apple on the table.
Mamma var allt som oftast väldigt upptagen.,Mother was very busy most of the time.
Hur såg rånaren ut?,What did the mugger look like?
Han tycker inte om fisk.,He doesn't like fish.
Dörren öppnar nu.,The door is opening now.
"Stanna, annars skjuter jag.",Stop or I'll shoot.
Det är femtio kilometer till Paris.,It's fifty kilometers to Paris.
Jag försov mig.,I overslept.
Få mig inte att skada dig.,Don't make me hurt you.
Varje elev har sin egen dator.,Each student has their own computer.
"Det är därför jag är här, faktiskt.","That's why I'm here, actually."
Han köpte den inte i alla fall.,He did not buy it after all.
Jag kommer att betala extra.,I'll pay extra.
Det är bara en ursäkt.,That's just an excuse.
Vad är på modet nu?,What is popular now?
Varför är dom rädda?,Why are they afraid?
Vad du har blivit lärd är fel.,What you were taught is wrong.
Finns det någon som kan svara?,Is there anyone who can answer?
Han är före i sin engelska klass.,He is ahead of his class in English.
Ni sa att ni var lyckliga.,You said that you were happy.
Jag skiter i vad du säger!,I don't give a fuck about what you say!
Mjölken håller i två dagar.,The milk will keep for two days.
Hunden bet mig i handen.,The dog bit me in the hand.
Jag tappade bort min väska på väg till skolan.,I lost my purse on my way to school.
Min bror kan springa lika fort som jag kan.,My brother can run as fast as I.
Jag pluggade i kanske två timmar.,I studied for perhaps two hours.
Är det öppet på söndag?,Is it open on Sunday?
Jag lämnade dig ett meddelande.,I left you a message.
Han nämnde det.,He mentioned it.
Min katt dog igår.,My pet cat died yesterday.
De ser förvirrade ut.,They look confused.
Det här vattnet smakar bra.,This water tastes good.
Det kommer inte att fungera.,It won't work.
"Jag kan inte läsa franska, inte heller kan jag tala det.","I can't read French, nor can I speak it."
Vad är klockan? Min klocka går fel.,What's the time? My watch has gone wrong.
De såg förskräckta ut.,They look horrified.
Det är precis som jag förväntade mig.,It's exactly as I expected.
Jag promenerar till jobbet varje dag.,I walk to work every day.
Jag sköt på mitt hushållsarbete några timmar.,I postponed doing my housework for a few hours.
Får jag öppna en burk?,May I open a can?
Hur kan jag åka buss till sjukhuset?,How can I get to the hospital by bus?
De är min farfars böcker.,They are my grandfather's books.
Jag fixar en.,I'll get one.
De är min morfars böcker.,They are my grandfather's books.
Han har gjort sitt yttersta för mig.,He has done his utmost for me.
De är lika starka som vi.,They are as strong as us.
Bara kärlek kan krossa ens hjärta.,Only love can break your heart.
Jag dubbelkollade det.,I checked it twice.
Jag har ett meddelande.,I have an announcement.
Jag undersöka det.,I'll look into it.
Jag stjäl inte.,I don't steal.
Vad vill du ska hända?,What do you want to happen?
Jag uppskattar vår vänskap mycket.,I value your friendship very much.
Det kommer aldrig att hända.,It'll never happen.
Faktiskt så är jag inte särskilt säker.,"Actually, I'm not quite sure."
Var snäll och avbryt mig inte.,Please don't interrupt me.
Han hann.,He made it.
Vill du gifta dig först eller skaffa barn först?,Do you want to get married first or have a child first?
Det vore kul att träffas snart igen.,It would be nice to meet again before long.
Han är en mycket attraktiv man.,He is a very attractive man.
Skulle du kunna sänka radion?,Would you mind turning down the radio?
Jag älskar den där klänningen.,I love that dress.
Jag tror fortfarande på kärleken.,I still believe in love.
Jag är säker på att du lyckas.,I'm sure of your success.
Jag återvände till Japan.,I returned to Japan.
Jag sköt upp mitt hushållsarbete några timmar.,I postponed doing my housework for a few hours.
Vill du ha nåt att äta?,Do you want something to eat?
Han gick motvilligt för att träffa henne.,He went to see her reluctantly.
De här är pojkar och de där är flickor.,These are boys and those are girls.
Japan är ett vackert land.,Japan is a beautiful country.
Vår skola är femton år gammal.,Our school is fifty years old.
Jag talar inte tyska.,I don't speak German.
Skall du presentera mig för henne?,Will you introduce me to her?
Vi blir inte yngre än så här.,We're not getting any younger.
Jag har inte tid att laga mat.,I don't have time to cook.
Kosta vad det kosta vill.,Cost what it may.
De andra barnen skrattade.,The other children laughed.
Såg du blicken han gav mig?,Did you see how he looked at me?
Du ska få en fin present.,You shall have a nice present.
Varför följer du inte med oss till festen?,Why don't you come along with us to the party?
Varför är himlen blå?,Why is the sky blue?
Han återvände hem efter att ha varit borta under tio månader.,He returned home after being away for ten months.
Hon ser sin chef som sin far.,She thinks of her boss as a father.
Ingen vill ha ett krig.,Nobody wants a war.
De bor i ett nytt hus nära parken.,They live in a new house near the park.
Har posten kommit än?,Has the mail come yet?
Där tar du troligen fel.,You're very likely wrong about that.
Hennes skämt gick inte hem.,Her jokes fell flat.
Ibland förstår jag mig inte på honom.,"Sometimes, I don't understand him."
Jag kanske går ut om det slutar regna.,I may go out if the rain lets up.
Jag såg ett flygplan.,I saw a plane.
Det finns regler att följa.,There are rules to observe.
Vem skrev brevet?,Who wrote the letter?
Hon beställde en kopp te.,She ordered a cup of tea.
Han är inte galen.,He is not mad.
Han gjorde äntligen slut med den där kvinnan.,He finally broke up with that woman.
Kom prick klockan tio.,Come at ten o'clock sharp.
Hur bred är den här vägen?,What is the breadth of this road?
Jag chansar bara.,I'm just guessing.
En bild säger mer än tusen ord.,A picture is worth a thousand words.
Jag ska gå till stranden.,I'll go to the beach.
Skolan är på gångavstånd från mitt hus.,The school is within walking distance of my house.
Någon förstörde min kamera.,Someone broke my camera.
Det här är konstigt.,This is weird.
Han rusade in i rummet.,He ran into the room.
Det knackar på dörren.,It knocks on the door.
Jag tog mig friheten att ringa henne.,I took the liberty of calling her.
Jag sjunger en skön sång.,I sing a beautiful song.
Vi sätter julgranen här.,Let's put the Christmas tree here.
Hur sent kan jag ringa?,How late can I ring?
De här kängorna tillhör henne.,These boots belong to her.
Vad vill du göra i framtiden?,What do you want to do in the future?
Vill ni ha té eller kaffe?,Do you want some tea or some coffee?
Jag kompenserar för det nästa gång.,I will make up for it next time.
Sluta tjata på mig.,Stop badgering me.
De är svåra att hitta.,They're hard to find.
Hon lämnade scenen förra året.,She left the stage last year.
Det är svårt att förstå hans teori.,It's difficult to understand his theory.
Jag förstår inte tyska.,I don't understand German.
Jag flyttade inte på någonting.,I didn't move a thing.
Hon frågade mig om jag mådde bra.,She asked me if I was all right.
Hon undviker mig.,She avoids me.
Vi har råkat illa ut.,We're in trouble.
Varför svarar du inte?,Why don't you answer?
Vad fattas dig? Du ser blek ut.,What's the matter with you? You look pale.
Jag är så gott som aldrig hemma.,I'm hardly ever home.
Jag mindes alla.,I remembered everybody.
Vad är populärt nu?,What is popular now?
Jag trodde att du åkt.,I thought you'd left.
Ditt rum är dubbelt så stort som mitt.,Your room is twice the size of mine.
Det här är ett mycket märkligt brev.,This is a very strange letter.
Gud skapade världen på sex dagar.,God created the world in six days.
Jag har fått nog!,I'm fed up!
Jag har fått nog.,I'm fed up.
Jag hoppas verkligen att du har rätt.,I really hope you're right.
Hon frågade honom varför han grät.,She asked him why he was crying.
Vänta en stund.,Give me a minute.
Du verkar förvånad.,You seem surprised.
Han arbetar hårt året runt.,He works hard all the year round.
Var parkerade du bilen?,Where did you park the car?
Vi kysstes bara.,We only kissed.
"Skynda dig, tåget stannar bara här en kort stund.","Hurry up, the train only stops here for a short while."
Han var siste man att komma fram.,He was the last person to arrive.
Hon är orolig för sin vikt.,She worries about her weight.
Var har du fått det där ärret ifrån?,What's that scar from?
Han gick vilse när han var ute och gick i skogen.,He got lost while walking in the woods.
Jag kan inte riskera någonting.,I can't take chances.
Dörrar är inte så dåliga som du tror.,Doors aren't as bad as you think.
Han låtsas.,He's faking.
Varför skjutsar inte jag dig?,Why don't I drive you?
Jag tycker om din sjal.,I like your scarf.
Jag hoppas verkligen att ni har rätt.,I really hope you're right.
Han kände sig fram genom mörkret.,He felt his way through the darkness.
Vad skrämde dig?,What scared you?
Vad hände? Bilen saktar ner.,What happened? The car's slowing down.
Min penna är i min hand.,My pen is in my hand.
Spela inte förvånad.,Don't act surprised.
Han är ofta förskenad till skolan.,He is often late for school.
Röstade du?,Did you vote?
Jag kan väl skjutsa dig?,Why don't I drive you?
Gillar du att äta fisk?,Do you like eating fish?
Han blev kry igen.,He got well again.
Han kände medlidande med oss.,He felt pity for us.
Hon hade på sig en svart hatt.,She was wearing a black hat.
Han kan tala franska och engelska.,He can speak French and English.
Jag tänker inte lyssna på dig.,I'm not listening to you.
"Skulle jag kunna få ett glas öl, tack?","May I have a glass of beer, please."
Han är angelägen att åka dit.,He is eager to go there.
Jag står inte ut med oljudet längre.,I can't put up with the noise any longer.
Har du matat hunden än?,Have you fed the dog yet?
Han tvingade sig in i rummet.,He forced his way into the room.
Min far är på promenad i parken.,My father is taking a walk in the park.
"Skynda er, tåget stannar bara här en kort stund.","Hurry up, the train only stops here for a short while."
Jag pratar inte tyska.,I don't speak German.
Jag känner tjejen som spelar tennis.,I know the girl playing tennis.
Folk säger att han aldrig dör.,People say he never dies.
Finns det en tvättmaskin i huset?,Is there a washing machine in the house?
Vi gör mjölk till ost och smör.,We make milk into cheese and butter.
Jag gick hemifrån vid sju.,I left home at seven.
"En kopp te, tack.","A cup of tea, please."
Vilken sport tycker du mest om?,What kind of sport do you like the best?
Vi gör ost och smör av mjölk.,We make milk into cheese and butter.
Det var en massa möbler i rummet.,There was a lot of furniture in the room.
Jag antar att du skulle kunna ha rätt.,"You could be right, I suppose."
Hon log.,She smiled.
Han tittade på en svensk film.,He watched a Swedish movie.
En helicopter åkte runt över oss.,A helicopter circled over us.
Hon kan prata både engelska och tyska.,She can speak both English and German.
Vi flyttade våra väskor för att ge plats för den gamla damen att sitta ner.,We moved our bags to make room for the elderly lady to sit down.
Min fru slår mig.,My wife beats me.
Någon har stulit alla mina pengar.,Someone has stolen all my money.
Vem som helst kan göra misstag.,Anybody can make a mistake.
Min mor tycker mycket om té.,My mum likes tea very much.
De närmar sig.,They are approaching.
Jag spelade fotboll igår.,I played soccer yesterday.
Jag är älskad av mina föräldrar.,I am loved by my parents.
Min far varken röker eller dricker.,My father neither smokes nor drinks.
Var har hon lärt sig italienska?,Where has she learned Italian?
Han berättade sin livshistoria för mig.,He told me his life's story.
Man trodde att valar var fiskar.,It was believed that whales were fish.
Han är stark.,He's strong.
Jag har många samtal att ringa.,I have a lot of calls to make.
Jag lånade ut en del pengar till min vän.,I lent my friend some money.
Jag drack inte vattnet.,I didn't drink the water.
Jag kan knappt andas.,I can hardly breathe.
Det var ett oförlåtligt misstag.,That was an unforgivable error.
Kan du inte ge me lite pengar?,Won't you give me a little money?
Jag kom underfund med någonting.,I found out something.
Det är inget skämt.,It's no joke.
Han pluggar alltid.,He is always studying.
Hatten är din.,The hat is yours.
Jag vill ha en öl.,I'd like a beer.
Jag har två utländska vänner.,I have two foreign friends.
Hon var ung och oskyldig.,She was young and innocent.
Vi har tre flygplan.,We have three airplanes.
Har du gått ned i vikt?,Did you lose weight?
Hur länge har han varit borta?,How long has he been absent?
Slösa inte bort din tid.,Don't waste your time.
De slingrar sig.,They're stalling.
Hon lurade honom.,She fooled him.
Hur lärde du känna henne?,How did you get to know her?
När kom Susana tillbaka?,When did Susana get back?
Titta bakom dig.,Look behind you.
Jag ska gå till parken.,I will go to the park.
Hon började springa.,He began running.
Hur stavas det?,How is it spelled?
Det där är ett gammalt skämt.,That's an old joke.
Jag vet att du har rätt.,I know you're right.
Han stiger upp tidigt.,He's getting up early.
Titta på pojken bredvid bilen.,Look at the boy beside the car.
Han är sjuk.,He is sick.
Jag vet inte vad rätt svar är.,I don't know what the correct answer is.
Jag har bara en önskan.,I have but one wish.
Hon kanske berättade en lögn för mig.,She may have told me a lie.
Någon gjorde sönder min kamera.,Someone broke my camera.
De är nöjda med det nya huset.,They are satisfied with the new house.
Min far fick mig att tvätta bilen.,My father had me wash the car.
Du är konstig.,You're weird.
Skulle jag kunna få tala med fröken Brown?,May I talk to Ms. Brown?
Storebror ser dig.,Big Brother is watching you.
Grekiska är inget lätt språk.,Greek is not an easy language.
Han är elva år gammal.,He's eleven years old.
Gillar du sött te?,Do you like sweet tea?
Jag förstod inte hans skämt.,I didn't get his joke.
Det dom sökte var en man som han själv.,What they wanted was a man like himself.
Någon hade sönder min kamera.,Someone broke my camera.
Hennes enda önskan var att träffa sin son igen.,Her one wish was to see her son again.
Har brevbäraren redan kommit?,Has the mailman already come?
Vill du ha lite öl?,Do you want some beer?
Vem är allsångsledare i år?,Who's the lead singer of the group this year?
Allt var fortfarande i skogen.,All was still in the woods.
Slösa inte bort er tid.,Don't waste your time.
Kan ni låsa dörren är ni snälla?,Would you please lock the door?
Ta seden dit man kommer.,"When in Rome, do as the Romans do."
Jag reser ofta.,I often travel.
Vi hyrde en lägenhet.,We rented an apartment.
Mannen satte eld på sig själv.,The man set himself on fire.
Hon är stark.,She is strong.
Hon kan vare sig läsa eller skriva.,She cannot write or read.
När det slutar regna ska vi ta en promenad.,"When the rain stops, we'll go for a walk."
Vill någon ha en öl?,Does anyone want a beer?
Att lära sig koreanska är svårt.,Learning Korean is difficult.
Det ligger en apelsin på bordet.,There is an orange on the table.
Jag vet vad som är rätt.,I know what's right.
Jag vill inte vara rik.,I don't want to be rich.
Det är otroligt.,It's unbelievable.
Jag försökte skriva med min vänstra hand.,I tried writing with my left hand.
Det spelas inte mycket fotboll där.,Not much soccer is played there.
Var är kaptenen för det här skeppet?,Where is the captain of this ship?
Jag kommer från Turkiet.,I'm from Turkey.
Jag vill veta exakt vad det är som händer.,I want to know exactly what is going on.
Vet du var mina gamla glasögon är?,Do you know where my old glasses are?
Du blir tvungen att laga mer mat.,You'll have to cook more food.
Pojken som bor här intill kommer ofta hem sent.,The boy who lives next door often comes home late.
Kan ni vara snälla och låsa dörren?,Would you please lock the door?
Jag har studerat engelska i fyra år.,I have been studying English for four years.
Han lastade ur bilen.,He unloaded the car.
Jag kände mig genast lite bättre.,I felt immediately a bit better.
Vi hoppas på fred.,We hope for peace.
Det här är en penna.,This is a pen.
Vad sägs om en promenad på stranden?,How about a walk on the beach?
Jag fick syn på pojken.,I caught sight of the boy.
Kan jag sitta ned?,Can I sit down?
Hon var inte tillräckligt snabb.,She was not quick enough.
Jag ska presentera dig för några vänner som läser tyska.,I will introduce you some friends who study German.
Välkomna hem till oss!,Welcome to our home!
Jag älskar Lauries hår.,I love Laurie's hair.
Kan du snälla säga hur lång du är och din vikt?,Could you please tell me your height and weight?
Ni får välja vilken bok som helst.,You may choose whichever book you like.
De kommer att attackera.,They'll attack.
Många människor litar inte på regeringen.,Many people do not trust the government.
Vilken vacker fågel det är!,What a beautiful bird it is!
Min rygg gör fortfarande ont.,My back still hurts.
Hon sjunger otroligt bra.,She sings in an unbelievable way.
Vad är det där borta?,What is over there?
Det tog honom tio minuter att lösa problemet.,It took him ten minutes to solve the problem.
Vi trodde att hans hot bara var ett skämt.,We thought his threat was only a joke.
